label,m,n,k,repeats,seconds,gflops,max_abs_err,max_rel_err
baseline,amx,2048,2048,2048,1,0.462224600,37.168,1.10626221e-04,1.79999995e+00
baseline,amx,4096,4096,4096,1,3.633781786,37.823,2.82287598e-04,3.51667404e+00
baseline,amx,10000,10000,10000,1,65.405337811,30.579,0.00000000e+00,0.00000000e+00
spr,amx,2048,2048,2048,1,0.384225341,44.713,1.10626221e-04,1.79999995e+00
spr,amx,4096,4096,4096,1,3.237556626,42.451,2.82287598e-04,3.51667404e+00
spr,amx,10000,10000,10000,1,56.303368054,35.522,0.00000000e+00,0.00000000e+00
spr_unroll,amx,2048,2048,2048,1,0.387080020,44.383,1.10626221e-04,1.79999995e+00
spr_unroll,amx,4096,4096,4096,1,3.259466010,42.166,2.82287598e-04,3.51667404e+00
spr_unroll,amx,10000,10000,10000,1,56.655778543,35.301,0.00000000e+00,0.00000000e+00
spr_fast,amx,2048,2048,2048,1,0.385306015,44.588,3.05175781e-05,9.53674316e-01
spr_fast,amx,4096,4096,4096,1,3.243182775,42.378,7.62939453e-05,1.63414633e+00
spr_fast,amx,10000,10000,10000,1,56.739715451,35.249,0.00000000e+00,0.00000000e+00
